case_id,arch,anchored,pose,noise,weighted,nms_radius,n_peaks,rank
dram_unanchored_pose-small_0128,dram,unanchored,small,high,False,4,30,-1
dram_unanchored_pose-small_0128,dram,unanchored,small,high,False,8,30,-1
dram_unanchored_pose-small_0128,dram,unanchored,small,high,False,16,30,-1
dram_unanchored_pose-small_0128,dram,unanchored,small,high,True,2,30,-1
dram_unanchored_pose-small_0128,dram,unanchored,small,high,True,4,30,-1
dram_unanchored_pose-small_0128,dram,unanchored,small,high,True,8,30,-1
dram_unanchored_pose-small_0128,dram,unanchored,small,high,True,16,30,-1
dram_unanchored_pose-small_0129,dram,unanchored,small,high,False,2,30,-1
dram_unanchored_pose-small_0129,dram,unanchored,small,high,False,4,30,-1
dram_unanchored_pose-small_0129,dram,unanchored,small,high,False,8,30,-1
dram_unanchored_pose-small_0129,dram,unanchored,small,high,False,16,30,-1
dram_unanchored_pose-small_0129,dram,unanchored,small,high,True,2,30,-1
dram_unanchored_pose-small_0129,dram,unanchored,small,high,True,4,30,-1
dram_unanchored_pose-small_0129,dram,unanchored,small,high,True,8,30,-1
dram_unanchored_pose-small_0129,dram,unanchored,small,high,True,16,30,-1
dram_unanchored_pose-small_0130,dram,unanchored,small,high,False,2,30,-1
dram_unanchored_pose-small_0130,dram,unanchored,small,high,False,4,30,-1
dram_unanchored_pose-small_0130,dram,unanchored,small,high,False,8,30,-1
dram_unanchored_pose-small_0130,dram,unanchored,small,high,False,16,30,-1
dram_unanchored_pose-small_0130,dram,unanchored,small,high,True,2,30,-1
dram_unanchored_pose-small_0130,dram,unanchored,small,high,True,4,30,-1
dram_unanchored_pose-small_0130,dram,unanchored,small,high,True,8,30,-1
dram_unanchored_pose-small_0130,dram,unanchored,small,high,True,16,30,-1
dram_unanchored_pose-small_0131,dram,unanchored,small,high,False,2,30,-1
dram_unanchored_pose-small_0131,dram,unanchored,small,high,False,4,30,-1
dram_unanchored_pose-small_0131,dram,unanchored,small,high,False,8,30,-1
dram_unanchored_pose-small_0131,dram,unanchored,small,high,False,16,30,-1
dram_unanchored_pose-small_0131,dram,unanchored,small,high,True,2,30,-1
dram_unanchored_pose-small_0131,dram,unanchored,small,high,True,4,30,-1
dram_unanchored_pose-small_0131,dram,unanchored,small,high,True,8,30,-1
dram_unanchored_pose-small_0131,dram,unanchored,small,high,True,16,30,-1
dram_unanchored_pose-small_0132,dram,unanchored,small,high,False,2,30,-1
dram_unanchored_pose-small_0132,dram,unanchored,small,high,False,4,30,-1
dram_unanchored_pose-small_0132,dram,unanchored,small,high,False,8,30,-1
dram_unanchored_pose-small_0132,dram,unanchored,small,high,False,16,30,-1
dram_unanchored_pose-small_0132,dram,unanchored,small,high,True,2,30,-1
dram_unanchored_pose-small_0132,dram,unanchored,small,high,True,4,30,-1
dram_unanchored_pose-small_0132,dram,unanchored,small,high,True,8,30,-1
dram_unanchored_pose-small_0132,dram,unanchored,small,high,True,16,30,-1
dram_unanchored_pose-small_0133,dram,unanchored,small,high,False,2,30,-1
dram_unanchored_pose-small_0133,dram,unanchored,small,high,False,4,30,-1
dram_unanchored_pose-small_0133,dram,unanchored,small,high,False,8,30,-1
dram_unanchored_pose-small_0133,dram,unanchored,small,high,False,16,30,-1
dram_unanchored_pose-small_0133,dram,unanchored,small,high,True,2,30,-1
dram_unanchored_pose-small_0133,dram,unanchored,small,high,True,4,30,-1
dram_unanchored_pose-small_0133,dram,unanchored,small,high,True,8,30,-1
dram_unanchored_pose-small_0133,dram,unanchored,small,high,True,16,30,-1
dram_unanchored_pose-small_0134,dram,unanchored,small,high,False,2,30,-1
dram_unanchored_pose-small_0134,dram,unanchored,small,high,False,4,30,-1
dram_unanchored_pose-small_0134,dram,unanchored,small,high,False,8,30,-1
dram_unanchored_pose-small_0134,dram,unanchored,small,high,False,16,30,-1
dram_unanchored_pose-small_0134,dram,unanchored,small,high,True,2,30,-1
dram_unanchored_pose-small_0134,dram,unanchored,small,high,True,4,30,-1
dram_unanchored_pose-small_0134,dram,unanchored,small,high,True,8,30,-1
dram_unanchored_pose-small_0134,dram,unanchored,small,high,True,16,30,-1
dram_unanchored_pose-large_0135,dram,unanchored,large,low,False,2,30,-1
dram_unanchored_pose-large_0135,dram,unanchored,large,low,False,4,30,-1
dram_unanchored_pose-large_0135,dram,unanchored,large,low,False,8,30,-1
dram_unanchored_pose-large_0135,dram,unanchored,large,low,False,16,30,-1
dram_unanchored_pose-large_0135,dram,unanchored,large,low,True,2,30,-1
dram_unanchored_pose-large_0135,dram,unanchored,large,low,True,4,30,-1
dram_unanchored_pose-large_0135,dram,unanchored,large,low,True,8,30,-1
dram_unanchored_pose-large_0135,dram,unanchored,large,low,True,16,30,-1
dram_unanchored_pose-large_0136,dram,unanchored,large,low,False,2,30,-1
dram_unanchored_pose-large_0136,dram,unanchored,large,low,False,4,30,-1
dram_unanchored_pose-large_0136,dram,unanchored,large,low,False,8,30,-1
dram_unanchored_pose-large_0136,dram,unanchored,large,low,False,16,30,-1
dram_unanchored_pose-large_0136,dram,unanchored,large,low,True,2,30,-1
dram_unanchored_pose-large_0136,dram,unanchored,large,low,True,4,30,-1
dram_unanchored_pose-large_0136,dram,unanchored,large,low,True,8,30,-1
dram_unanchored_pose-large_0136,dram,unanchored,large,low,True,16,30,-1
dram_unanchored_pose-large_0137,dram,unanchored,large,low,False,2,30,-1
dram_unanchored_pose-large_0137,dram,unanchored,large,low,False,4,30,-1
dram_unanchored_pose-large_0137,dram,unanchored,large,low,False,8,30,-1
dram_unanchored_pose-large_0137,dram,unanchored,large,low,False,16,30,-1
dram_unanchored_pose-large_0137,dram,unanchored,large,low,True,2,30,-1
dram_unanchored_pose-large_0137,dram,unanchored,large,low,True,4,30,-1
dram_unanchored_pose-large_0137,dram,unanchored,large,low,True,8,30,-1
dram_unanchored_pose-large_0137,dram,unanchored,large,low,True,16,30,-1
dram_unanchored_pose-large_0138,dram,unanchored,large,low,False,2,30,-1
dram_unanchored_pose-large_0138,dram,unanchored,large,low,False,4,30,-1
dram_unanchored_pose-large_0138,dram,unanchored,large,low,False,8,30,-1
dram_unanchored_pose-large_0138,dram,unanchored,large,low,False,16,30,-1
dram_unanchored_pose-large_0138,dram,unanchored,large,low,True,2,30,-1
dram_unanchored_pose-large_0138,dram,unanchored,large,low,True,4,30,-1
dram_unanchored_pose-large_0138,dram,unanchored,large,low,True,8,30,-1
dram_unanchored_pose-large_0138,dram,unanchored,large,low,True,16,30,-1
dram_unanchored_pose-large_0139,dram,unanchored,large,low,False,2,30,-1
dram_unanchored_pose-large_0139,dram,unanchored,large,low,False,4,30,-1
dram_unanchored_pose-large_0139,dram,unanchored,large,low,False,8,30,-1
dram_unanchored_pose-large_0139,dram,unanchored,large,low,False,16,30,-1
dram_unanchored_pose-large_0139,dram,unanchored,large,low,True,2,30,-1
dram_unanchored_pose-large_0139,dram,unanchored,large,low,True,4,30,-1
dram_unanchored_pose-large_0139,dram,unanchored,large,low,True,8,30,-1
dram_unanchored_pose-large_0139,dram,unanchored,large,low,True,16,30,-1
dram_unanchored_pose-large_0140,dram,unanchored,large,low,False,2,30,-1
dram_unanchored_pose-large_0140,dram,unanchored,large,low,False,4,30,-1
dram_unanchored_pose-large_0140,dram,unanchored,large,low,False,8,30,-1
dram_unanchored_pose-large_0140,dram,unanchored,large,low,False,16,30,-1
dram_unanchored_pose-large_0140,dram,unanchored,large,low,True,2,30,-1
